URL,lyrics_and_chords,song_title,artist,popularity_score,verse_chords,tonic_chord,verse_chords_rebased
https://tabs.ultimate-guitar.com/tab/elvis-presley/cant-help-falling-in-love-chords-1086983,"C G Am F C G C C Em Am F C G Wise men say, only fools rush in F G Am F * C G "" /> var sentryLazyHandler = sentryMethodsToSave.forEach( ); ) ; ; <div class=""js-store"" data-content="" , urlFacebook , ps_server , api_web_serv , static_server : statik_cache : _ver1708701584 , staticPrefix : /static , time :1708760207000, isGDPRAvailable isCcpaAvailable user : , is_renew_session :false , username : Unregistered , iq : , contributorPower is_bot is_banned :false , isOfficeUser isOfficeRequest isWebp isBot is_mobile is_tablet isThemeMobile isIe isEs6 isAsia socketCluster : , metricaId :18746557, captcha_id : 6LfCo_8SAAAAALEMHnlK18j8IemlAdvmxwRnQe2v , stripeApiKey : , country : US , countryCode : US , browserName : Python , os : , platform :4, browser : ,\ device\ : , urlUgProAppIcon : withCritical analytics : , braintree : , vimeo : , hasStaticCache :0, rtAnalytics : , xtz : , jinba : , metricaParams : , store : , album_cover : , artist_url : tab_url : date_update : 1664251740 , user_id :426482, user_iq :30696, username : Pencom , type_name : Chords , best_pro_tab_url : backing_track_tip tab_view :{ wiki_tab :{ content : Can’t Help Falling In Love With You chords *** Elvis Presley 1961 (Blue Hawaii)** Capo II ** C G Am F C G C C Em Am F C G Wise men say, only fools rush in F G Am F * C G C But I can't help falling in love with you C Em Am F C G Shall I stay, would it be a sin? F G Am F * C G C If I can't help falling in love with you Em B7 Em B7 Like a river flows surely to the sea Em B7 Darling so it goes Em A7 Dm G Some things are meant to be C Em Am F C G Take my hand, take my whole life too F G Am F C G C For I can't help falling in love with you Em B7 Em B7 Like a river flows surely to the sea Em B7 Darling so it goes Em A7 Dm G Some things are meant to be C Em Am F C G Take my hand, take my whole life too F G Am F C G C ( C ) For I can't help falling in love with you F G Am F C G C For I can't help falling in love with you[/",Can’t Help Falling In Love With You,Elvis Presley,90,"['C', 'G', 'Am', 'F', 'C', 'G', 'C', 'Em', 'Am', 'F', 'C', 'G', 'F', 'G', 'Am', 'F', 'C', 'G', 'C', 'Em', 'Am', 'F', 'C', 'G', 'F', 'G', 'Am', 'F', 'C', 'G', 'C', 'Em', 'B7', 'Em', 'B7', 'Em', 'B7', 'Em', 'A7', 'Dm', 'G', 'C', 'Em', 'Am', 'F', 'C', 'G', 'F', 'G', 'Am', 'F', 'C', 'G', 'C', 'Em', 'B7', 'Em', 'B7', 'Em', 'B7', 'Em', 'A7', 'Dm', 'G', 'C', 'Em', 'Am', 'F', 'C', 'G', 'F', 'G', 'Am', 'F', 'C', 'G', 'C']",C,"['C', 'G', 'Am', 'F', 'C', 'G', 'C', 'Em', 'Am', 'F', 'C', 'G', 'F', 'G', 'Am', 'F', 'C', 'G', 'C', 'Em', 'Am', 'F', 'C', 'G', 'F', 'G', 'Am', 'F', 'C', 'G', 'C', 'Em', 'B7', 'Em', 'B7', 'Em', 'B7', 'Em', 'A7', 'Dm', 'G', 'C', 'Em', 'Am', 'F', 'C', 'G', 'F', 'G', 'Am', 'F', 'C', 'G', 'C', 'Em', 'B7', 'Em', 'B7', 'Em', 'B7', 'Em', 'A7', 'Dm', 'G', 'C', 'Em', 'Am', 'F', 'C', 'G', 'F', 'G', 'Am', 'F', 'C', 'G', 'C']"
https://tabs.ultimate-guitar.com/tab/jason-mraz/im-yours-chords-373896,"G D Em C Intro Tab (relative to Capo): e B B G D A E G Well, you done done me in; you bet I felt it D I tried to be chill but you're so hot that I melted Em I fell right through the cracks C Now I'm tryin' to get back G Before the cool done run out, I'll be givin' it my bestest D and nothin's gonna stop me but divine intervention Em I reckon it's again my turn C To win some or learn some G D But I won't hesitate Em No more, no more C G D Em C It cannot wait; I'm yours G D Well, open up your mind and see like me Em Open up your plans and damn you're free C Look into your heart and you'll find love, love, love, love G D Em Listen to the music of the moment, people dance and sing, we're just one big family C A7 And it's our God-forsaken right to be loved, loved, loved, loved, loved G D Dsus4 So I won't hesitate Em No more, no more C It cannot wait, I'm sure G D There's no need to complicate Em Our time is short C This is our fate, I'm yours G D Em Doo do do doo doo do, doo do doo do doo do D C Do you want to come on, scooch on over closer, dear A7 And I will nibble your ear G Bm Em D C A7 G I've been spending way too long checking my tongue in the mirror D And bending over backwards just to try to see it clearer Em But my breath fogged up the glass C And so I drew a new face and I laughed G I guess what I'll be saying is there ain't no better reason D To rid yourself of vanities and just go with the seasons Em It's what we aim to do C Our name is our virtue G D Dsus4 But I won't hesitate Em No more, no more C G It cannot wait; I'm yours D Well, open up your mind and see like me Em Open up your plans and damn you're free C Look into your heart and you'll find that the sky is yours G So please don't, please don't, please don't D Dsus4 There's no need to complicate Em 'Cause our time is short C This oh, this oh, this is our fate A7 I'm yours N.C. G Brr-ba-mmm, da-ba-mmm-day D T-du, du, t-du, du, t-du, dudu, du-u, du-du Em C Oh, I'm yours G Oh, I'm yours D Oh-oh-oh-oh, whoa-oh-oh-oh Em Baby, do believe I'm yours C You best believe, you best believe I'm yours[/",I'm Yours,Jason Mraz,95,"['G', 'D', 'Em', 'C']",G,"['C', 'G', 'Am', 'F']"
https://tabs.ultimate-guitar.com/tab/vance-joy/riptide-chords-1237247,"Am G C Am G C Am G C I was scared of dentists and the dark Am G C I was scared of pretty girls and starting conversations Am G C Oh, all my friends are turning green Am G C"" /> var sentryLazyHandler = sentryMethodsToSave.forEach( ); ) ; ; <div class=""js-store"" data-content="" , urlFacebook , ps_server , api_web_serv , static_server : statik_cache : _ver1708701584 , staticPrefix : /static , time :1708760208000, isGDPRAvailable isCcpaAvailable user : , is_renew_session :false , username : Unregistered , iq : , contributorPower is_bot is_banned :false , isOfficeUser isOfficeRequest isWebp isBot is_mobile is_tablet isThemeMobile isIe isEs6 isAsia socketCluster : , metricaId :18746557, captcha_id : 6LfCo_8SAAAAALEMHnlK18j8IemlAdvmxwRnQe2v , stripeApiKey : , country : US , countryCode : US , browserName : Python , os : , platform :4, browser : ,\ device\ : , urlUgProAppIcon : withCritical analytics : , braintree : , vimeo : , hasStaticCache :0, rtAnalytics : , xtz : , jinba : , metricaParams : , store : , album_cover : , artist_url : tab_url : date_update : 1590028106 , user_id :3127428, user_iq :81, username : ray o' sunshine , type_name : Chords , best_pro_tab_url : backing_track_tip tab_view :{ wiki_tab :{ content : Am G C Am G C Am G C I was scared of dentists and the dark Am G C I was scared of pretty girls and starting conversations Am G C Oh, all my friends are turning green Am G C You're the magician's assistant in their dreams Am G C Ooh, ooh, ooh Am G C Ooh, ooh, and they come unstuck Am G C Lady, running down to the riptide, taken away Am G C To the dark side, I wanna be your left hand man Am G C I love you when you're singing that song, and I got a lump Am G C In my throat, 'cause you're gonna sing the words wrong Am G C There's this movie that I think you'll like Am G C This guy decides to quit his job and heads to New York City Am G C This cowboy's running from himself Am G C And she's been living on the highest shelf Am G C Ooh, ooh, ooh Am G C Ooh, ooh, and they come unstuck Am G C Lady, running down to the riptide, taken away Am G C To the dark side, I wanna be your left hand man Am G C I love you when you're singing that song, and I got a lump Am G C In my throat, 'cause you're gonna sing the words wrong ( C ) e B G D x4 A E Am G I just wanna, I just wanna know C Fmaj7 If you're gonna, if you're gonna stay Am G I just gotta, I just gotta know C Fmaj7 I can't have it, I can't have it any other way (strum once and hold) Am G C I swear she's destined for the screen Am G C Closest thing to Michelle Pfeiffer that you've ever seen, oh Am G C Lady, running down to the riptide, taken away Am G C To the dark side, I wanna be your left hand man Am G C I love you when you're singing that song, and I got a lump Am G C In my throat, 'cause you're gonna sing the words wrong Am G C Lady, running down to the riptide, taken away Am G C To the dark side, I wanna be your left hand man Am G C I love you when you're singing that song, and I got a lump Am G C In my throat, 'cause you're gonna sing the words wrong Am G C Lady, running down to the riptide, taken away Am G C To the dark side, I wanna be your left hand man Am G C I love you when you're singing that song, and I got a lump Am G C In my throat, 'cause you're gonna sing the words wrong yeah, I got a lump Am G C In my throat, 'cause you're gonna sing the words wrong[/",Riptide,Vance Joy,85,"['Am', 'G', 'C']",Am,"['Am', 'G', 'C']"
https://tabs.ultimate-guitar.com/tab/justin-bieber/love-yourself-chords-1780199,"C G/B Am For all the times that you rain on my parade Dm C G/B And all the clubs you get in using my name C G/B Am You think you broke my heart, oh girl for goodness sake Dm C G/B You think I'm crying, on my own, well I ain't C G/B Am And I didn't wanna write a song cause I didn't want anyone thinking I still care Dm C G/B I don't but, you still hit my phone up C G/B Am And baby I'll be movin' on and I think you should be somethin' Dm C G/B I don't wanna hold back, maybe you should know that Am F C My mama don't like you and she likes everyone Am F C And I never like to admit that I was wrong Am F C G And I've been so caught up in my job, didn't see what's going on Am F G And now I know, I'm better sleeping on my own C G Am F Cause if you like the way you look that much C F C Oh baby you should go and love yourself C G Am F And if you think that I'm still holdin' on to somethin' C F C You should go and love yourself C G/B Am But when you told me that you hated my friends Dm C G/B The only problem was with you and not them C G/B Am And every time you told me my opinion was wrong Dm C G/B And tried to make me forget where I came from C G/B Am And I didn't wanna write a song cause I didn't want anyone thinking I still care Dm C G/B I don't but, you still hit my phone up C G/B Am And baby I'll be movin' on and I think you should be somethin' Dm C G/B I don't wanna hold back, maybe you should know that Am F C My mama don't like you and she likes everyone Am F C And I never like to admit that I was wrong Am F C G And I've been so caught up in my job, didn't see what's going on Am F G And now I know, I'm better sleeping on my own C G Am F Cause if you like the way you look that much C F C Oh baby you should go and love yourself C G Am F And if you think that I'm still holdin' on to somethin' C F C You should go and love yourself C G Am F C G C C G Am F C G C C G/B Am For all the times that you made me feel small Dm C G/B I fell in love, now I feel nothin' at all C G/B Am I never felt so low when I was vulnerable Dm C G/B Was I a fool to let you break down my walls? C G Am F Cause if you like the way you look that much C F C Oh baby you should go and love yourself C G Am F And if you think that I'm still holdin' on to somethin' C F C You should go and love yourself C G Am F Cause if you like the way you look that much C F C Oh baby you should go and love yourself C G Am F And if you think that I'm still holdin' on to somethin' C F C You should go and love yourself[/",Love Yourself,Justin Bieber,85,"['C', 'G', 'Am', 'F']",C,"['C', 'G', 'Am', 'F']"
https://tabs.ultimate-guitar.com/tab/oasis/dont-look-back-in-anger-chords-6097,"C F C F C G Am Slip inside the eye of your mind E7 F G Don't you know you might find C Am G A "" /> var sentryLazyHandler = sentryMethodsToSave.forEach( ); ) ; ; <div class=""js-store"" data-content="" , urlFacebook , ps_server , api_web_serv , static_server : statik_cache : _ver1708701584 , staticPrefix : /static , time :1708760208000, isGDPRAvailable isCcpaAvailable user : , is_renew_session :false , username : Unregistered , iq : , contributorPower is_bot is_banned :false , isOfficeUser isOfficeRequest isWebp isBot is_mobile is_tablet isThemeMobile isIe isEs6 isAsia socketCluster : , metricaId :18746557, captcha_id : 6LfCo_8SAAAAALEMHnlK18j8IemlAdvmxwRnQe2v , stripeApiKey : , country : US , countryCode : US , browserName : Python , os : , platform :4, browser : ,\ device\ : , urlUgProAppIcon : withCritical analytics : , braintree : , vimeo : , hasStaticCache :0, rtAnalytics : , xtz : , jinba : , metricaParams : , store : , album_cover : , artist_url : tab_url : date_update : 1697811548 , user_id :0, user_iq :0, username : Unregistered , type_name : Chords , best_pro_tab_url : backing_track_tip tab_view :{ wiki_tab :{ content : Tune your guitar to 455 Hz to match the original pitch of the song. C F C F C G Am Slip inside the eye of your mind E7 F G Don't you know you might find C Am G A better place to play C G Am You said that you'd never been E7 F G But all the things that you've seen C Am G Slowly fade away F Fm6 C So I start a revolution from my bed F Fm6 C 'Cos you said the brains I had went to my head F Fm6 C Step outside, summertime's in bloom G Stand up beside the fireplace E7/G# Take that look from off your face Am G F G You ain't ever gonna burn my heart out C G Am E7 F And so Sally can wait, she knows it's too late G C Am G as we're walking on by C G Am E7 Her soul slides away, F G but don't look back in anger C G Am E7 F G C Am G I heard you say C G Am Take me to the place where you go E7 F G C Am G Where nobody knows, if it's night or day C G Am Please don't put your life in the hands E7 F G C Am G of a rock and roll band, who'll throw it all away F Fm6 C I'm gonna start a revolution from my bed F Fm6 C 'Cos you said the brains I had went to my head F Fm6 C Step outside, the summertime's in bloom G Stand up beside the fireplace E7/G# Take that look from off your face Am G F G 'Cos you ain't ever gonna burn my heart out C G Am E7 F So Sally can wait, she knows it's too late G C Am G as she's walking on by C G Am E7 My soul slides away, F G but don't look back in anger C Am G I heard you say F Fm6 C x3 G E7/G# Am G F G G N.C. C G Am E7 F So Sally can wait, she knows it's too late G C Am G as we're walking on by C G Am E7 Her soul slides away, F G but don't look back in anger C Am G I heard you say C G Am E7 F So Sally can wait, she knows it's too late G C Am G as she's walking on by C G Am My soul slides away F But don't look back in anger Fm6 Don't look back in anger C G Am E7 F Fm6 C I heard you say At least not today[/",Unknown,Unknown,80,"['C', 'F', 'C', 'F', 'C', 'G', 'Am', 'E', 'F', 'G', 'C', 'Am', 'G', 'C', 'G', 'Am', 'E', 'F', 'G', 'C', 'Am', 'G', 'F', 'Fm', 'C', 'F', 'Fm', 'C', 'F', 'Fm', 'C', 'G', 'E', 'Am', 'G', 'F', 'G']",C,"['C', 'F', 'C', 'F', 'C', 'G', 'Am', 'E', 'F', 'G', 'C', 'Am', 'G', 'C', 'G', 'Am', 'E', 'F', 'G', 'C', 'Am', 'G', 'F', 'Fm', 'C', 'F', 'Fm', 'C', 'F', 'Fm', 'C', 'G', 'E', 'Am', 'G', 'F', 'G']"
https://tabs.ultimate-guitar.com/tab/oasis/wonderwall-chords-39144,"Em7 G Dsus4 A7sus4 x4 Em7 G Today is gonna be the day Dsus4 A7sus4 Tha"" /> var sentryLazyHandler = sentryMethodsToSave.forEach( ); ) ; ; <div class=""js-store"" data-content="" , urlFacebook , ps_server , api_web_serv , static_server : statik_cache : _ver1708701587 , staticPrefix : /static , time :1708760209000, isGDPRAvailable isCcpaAvailable user : , is_renew_session :false , username : Unregistered , iq : , contributorPower is_bot is_banned :false , isOfficeUser isOfficeRequest isWebp isBot is_mobile is_tablet isThemeMobile isIe isEs6 isAsia socketCluster : , metricaId :18746557, captcha_id : 6LfCo_8SAAAAALEMHnlK18j8IemlAdvmxwRnQe2v , stripeApiKey : , country : US , countryCode : US , browserName : Python , os : , platform :4, browser : ,\ device\ : , urlUgProAppIcon : withCritical analytics : , braintree : , vimeo : , hasStaticCache :0, rtAnalytics : , xtz : , jinba : , metricaParams : , store : , album_cover : , artist_url : tab_url : date_update : 1613771358 , user_id :40504, user_iq :71, username : tomo999 , type_name : Chords , best_pro_tab_url : backing_track_tip tab_view :{ wiki_tab :{ content : Em7 0-2-2-0-3-3 G 3-x-0-0-3-3 Dsus4 x-x-0-2-3-3 A7sus4 x-0-2-2-3-3 Cadd9 x-3-2-0-3-3 G/F# 2-x-0-0-3-3 Em7 G Dsus4 A7sus4 x4 Em7 G Today is gonna be the day Dsus4 A7sus4 That they're gonna throw it back to you, Em7 G By now you should've somehow Dsus4 A7sus4 Realised what you gotta do. Em7 G Dsus4 A7sus4 I don't believe that anybody feels the way I do Cadd9 Dsus4 A7sus4 About you now. Em7 G Back beat, the word is on the street Dsus4 A7sus4 That the fire in your heart is out, Em7 G I'm sure you've heard it all before, Dsus4 A7sus4 But you never really had a doubt. Em7 G Dsus4 A7sus4 I don't believe that anybody feels the way I do Em7 G Dsus4 A7sus4 About you now. C D Em And all the roads we have to walk are winding, C D Em And all the lights that lead us there are blinding, C D G G/F# Em7 There are many things that I would like to say to you G A7sus4 But I don't know how. Cadd9 Em7 G Because maybe, Em7 Cadd9 Em7 G You're gonna be the one that saves me, Em7 Cadd9 Em7 G And after all, Em7 Cadd9 Em7 G Em7 You're my wonderwall. Em7 G Today was gonna be the day, Dsus4 A7sus4 But they'll never throw it back to you, Em7 G By now you should have somehow Dsus4 A7sus4 Realised what you're not to do. Em7 G Dsus4 A7sus4 I don't believe that anybody feels the way I do Em7 G Dsus4 A7sus4 About you now. C D Em And all the roads that lead you there are winding, C D Em And all the lights that light the way are blinding, C D G G/F# Em7 There are many things that I would like to say to you G A7sus4 But I don't know how. Cadd9 Em7 G I said maybe, Em7 Cadd9 Em7 G You're gonna be the one that saves me, Em7 Cadd9 Em7 G And after all, Em7 Cadd9 Em7 G Em7 You're my wonderwall. Cadd9 Em7 G I said maybe, Em7 Cadd9 Em7 G You're gonna be the one that saves me, Em7 Cadd9 Em7 G And after all, Em7 Cadd9 Em7 G Em7 You're my wonderwall. Cadd9 Em7 G I said maybe, Em7 Cadd9 Em7 G You're gonna be the one that saves me, Em7 Cadd9 Em7 G You're gonna be the one that saves me, Em7 Cadd9 Em7 G Em7 You're gonna be the one that saves me,[/",Wonderwall,Oasis,95,"['Em', 'G', 'Dsus4', 'A7sus4']",Em,"['Am', 'C', 'G', 'Dm']"
https://tabs.ultimate-guitar.com/tab/green-day/boulevard-of-broken-dreams-chords-146744,"Em G D A Em G D A Em G D A Em I walk a lonely road, the only one that I have ever known G D A Em Don't know where it goes, but it's home to me and I walk alone "" /> var sentryLazyHandler = sentryMethodsToSave.forEach( ); ) ; ; <div class=""js-store"" data-content="" , urlFacebook , ps_server , api_web_serv , static_server : statik_cache : _ver1708701584 , staticPrefix : /static , time :1708760209000, isGDPRAvailable isCcpaAvailable user : , is_renew_session :false , username : Unregistered , iq : , contributorPower is_bot is_banned :false , isOfficeUser isOfficeRequest isWebp isBot is_mobile is_tablet isThemeMobile isIe isEs6 isAsia socketCluster : , metricaId :18746557, captcha_id : 6LfCo_8SAAAAALEMHnlK18j8IemlAdvmxwRnQe2v , stripeApiKey : , country : US , countryCode : US , browserName : Python , os : , platform :4, browser : ,\ device\ : , urlUgProAppIcon : withCritical analytics : , braintree : , vimeo : , hasStaticCache :0, rtAnalytics : , xtz : , jinba : , metricaParams : , store : , album_cover : , artist_url : tab_url : date_update : 1644650882 , user_id :72184, user_iq :71, username : KorSare , type_name : Chords , best_pro_tab_url : backing_track_tip tab_view :{ wiki_tab :{ content : Em G D A Em G D A Em G D A Em I walk a lonely road, the only one that I have ever known G D A Em Don't know where it goes, but it's home to me and I walk alone ( Em ) G D A Em G D A Em I walk this empty street, on the boulevard of broken dreams G D A Em Where the city sleeps, and I'm the only one and I walk alone ( Em ) G D A Em I walk alone, I walk alone ( Em ) G D A I walk alone, I walk a.... C G D Em My shadow's the only one that walks beside me C G D Em My shallow heart's the only thing that's beating C G D Em Sometimes I wish someone out there will find me C G B7 Till then I walk alone Em G D A Ah-Ah Ah-Ah Ah-Ah Ahhh-Ah Em G D A haaa-ah Ah-Ah Ah-Ah Ah-Ah Em G I'm walking down the line D A Em That divides me somewhere in my mind G D On the border line of the edge A Em And where I walk alone ( Em ) G D A Em G Read between the lines D A Em What's fucked up and everything's alright G D A Check my vital signs, to know I'm still alive Em And I walk alone ( Em ) G D A Em I walk alone, I walk alone ( Em ) G D A I walk alone, I walk a.... C G D Em My shadow's the only one that walks beside me C G D Em My shallow heart's the only thing that's beating C G D Em Sometimes I wish someone out there will find me C G B7 Till then I walk alone Em G D A Ah-Ah Ah-Ah Ah-Ah Ahhh-Ah Em G D A haaa-ah Ah-Ah Ah-Ah I walk alone, I walk a... C G D Em C G D Em C G D Em C G B B7 Em G D A Em I walk this empty street, on the boulevard of broken dreams G D A Where the city sleeps, and I'm the only one and I walk a... C G D Em My shadow's the only one that walks beside me C G D Em My shallow heart's the only thing that's beating C G D Em Sometimes I wish someone out there will find me C G B7 Till then I walk alone[/",Boulevard of Broken Dreams,Green Day,90,"['Em', 'G', 'D', 'A']",Em,"['Am', 'C', 'G', 'D']"
https://tabs.ultimate-guitar.com/tab/john-denver/take-me-home-country-roads-chords-1101747,"/ G Em D C G Almost Heaven; West Virginia, Blue Ridge Mountains, Shenandoah River. G Em D Life is old there, older than the trees, younger than the mountains, C G Growin' like a br"" /> var sentryLazyHandler = sentryMethodsToSave.forEach( ); ) ; ; <div class=""js-store"" data-content="" , urlFacebook , ps_server , api_web_serv , static_server : statik_cache : _ver1708701587 , staticPrefix : /static , time :1708760210000, isGDPRAvailable isCcpaAvailable user : , is_renew_session :false , username : Unregistered , iq : , contributorPower is_bot is_banned :false , isOfficeUser isOfficeRequest isWebp isBot is_mobile is_tablet isThemeMobile isIe isEs6 isAsia socketCluster : , metricaId :18746557, captcha_id : 6LfCo_8SAAAAALEMHnlK18j8IemlAdvmxwRnQe2v , stripeApiKey : , country : US , countryCode : US , browserName : Python , os : , platform :4, browser : ,\ device\ : , urlUgProAppIcon : withCritical analytics : , braintree : , vimeo : , hasStaticCache :0, rtAnalytics : , xtz : , jinba : , metricaParams : , store : , album_cover : , artist_url : tab_url : date_update : 1590017262 , user_id :0, user_iq :0, username : Unregistered , type_name : Chords , best_pro_tab_url : backing_track_tip tab_view :{ wiki_tab :{ content : G Em D C G Almost Heaven; West Virginia, Blue Ridge Mountains, Shenandoah River. G Em D Life is old there, older than the trees, younger than the mountains, C G Growin' like a breeze. G D Em C Country Roads, take me home, to the place, I belong, G D C G West Virginia, mountain mama, take me home, country roads. G Em D C G All my memories gather round her, miner's lady, stranger to blue water. G Em D Dark and dusty, painted on the sky, misty taste of moonshine, C G Teardrop in my eye. G D Em C Country Roads, take me home, to the place, I belong, G D C G West Virginia, mountain mama, take me home, country roads. Em D G I hear her voice in the morning hour she calls me, C G D The radio reminds me of my home far away. Em F C And driving down the road I get a feeling G D D7 That I should have been home yesterday, yesterday. N.C. G D Em C Country Roads, take me home, to the place, I belong, G D C G West Virginia, mountain mama, take me home, country roads. G D Em C Country Roads, take me home, to the place, I belong, G D C G West Virginia, mountain mama, take me home, country roads. D G D G Take me home, down country roads; take me home, down country roads[/",Country Roads,Unknown,85,"['G', 'Em', 'D', 'C']",G,"['C', 'Am', 'G', 'F']"
https://tabs.ultimate-guitar.com/tab/the-beatles/hey-jude-chords-17275,"F C Hey Jude, don't make it bad F/C C7 C7sus4 C7 F Take a sad song and make it better Bb F Remember to let her into your heart C F and then you can start to make it better F C Hey Jude, don't be afraid F/C C7 C7sus4 C7 F You were made to go out and get her Bb F The minute you let her under your skin C F Fmaj7 F7 then you begin to make it better Bb Bb/A Gm And anytime you feel the pain, hey Jude, refrain Bb/F C/E C F Fmaj7 F7 Don't carry the world upon your shoulders Bb Bb/A Gm For well you know that it's a fool who plays it cool Bb/F C/E C F by making his world a little colder F F7 C C7 C F C7 Na na na na na na na na naa F C Hey Jude, don't let me down F/C C7 C7sus4 C7 F You have found her, now go and get her Bb F Remember to let her into you heart C F Fmaj7 F7 then you can start to make it better Bb Bb/A Gm So let it out and let it in, hey Jude, begin Bb/F C/E C F Fmaj7 F7 You're waiting for someone to perform with Bb Bb/A Gm And don't you know that it's just you, hey Jude, you'll do Bb/F C/E C F The movement you need is on your shoulders F F7 C C7 C F C7 Na na na na na na na na naa yeah F C Hey Jude, don't make it bad F/C C7 C7sus4 C7 F Take a sad song and make it better Bb F Remember to let her under your skin C F and then you'll begin to make it better, better, better, better, better, better, ahhhhhh! F Eb Na na na na na na na Bb Na na na na F Hey Jude F Eb Na na na na na na na Bb Na na na na F Hey Jude[/",Hey Jude,The Beatles,95,"['F', 'C', 'C7', 'F', 'Bb', 'F', 'C', 'F', 'F', 'C', 'C7', 'F', 'Bb', 'F', 'C', 'F', 'Bb', 'Gm', 'Bb', 'C', 'F', 'Bb', 'Gm', 'Bb', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'C7', 'F', 'Bb', 'F', 'C', 'F', 'Bb', 'Gm', 'Bb', 'C', 'F', 'Bb', 'Gm', 'Bb', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'C7', 'F', 'Bb', 'F', 'C', 'F', 'F', 'Eb', 'Bb', 'F', 'Eb', 'Bb']",F,"['C', 'G', 'G7', 'C', 'F', 'C', 'G', 'C', 'C', 'G', 'G7', 'C', 'F', 'C', 'G', 'C', 'F', 'Dm', 'F', 'G', 'C', 'F', 'Dm', 'F', 'G', 'C', 'C', 'G', 'G', 'C', 'G', 'C', 'G', 'G7', 'C', 'F', 'C', 'G', 'C', 'F', 'Dm', 'F', 'G', 'C', 'F', 'Dm', 'F', 'G', 'C', 'C', 'G', 'G', 'C', 'G', 'C', 'G', 'G7', 'C', 'F', 'C', 'G', 'C', 'C', 'D', 'F', 'C', 'D', 'F']"
https://tabs.ultimate-guitar.com/tab/lewis-capaldi/someone-you-loved-chords-2512737,"C G Am F / C G Am F I'm going under a"" /> var sentryLazyHandler = sentryMethodsToSave.forEach( ); ) ; ; <div class=""js-store"" data-content="" , urlFacebook , ps_server , api_web_serv , static_server : statik_cache : _ver1708701584 , staticPrefix : /static , time :1708760211000, isGDPRAvailable isCcpaAvailable user : , is_renew_session :false , username : Unregistered , iq : , contributorPower is_bot is_banned :false , isOfficeUser isOfficeRequest isWebp isBot is_mobile is_tablet isThemeMobile isIe isEs6 isAsia socketCluster : , metricaId :18746557, captcha_id : 6LfCo_8SAAAAALEMHnlK18j8IemlAdvmxwRnQe2v , stripeApiKey : , country : US , countryCode : US , browserName : Python , os : , platform :4, browser : ,\ device\ : , urlUgProAppIcon : withCritical analytics : , braintree : , vimeo : , hasStaticCache :0, rtAnalytics : , xtz : , jinba : , metricaParams : , store : , album_cover : , artist_url : tab_url : date_update : 1626704290 , user_id :10268150, user_iq :703, username : lukephilipjeeves , type_name : Chords , best_pro_tab_url : backing_track_tip tab_view :{ wiki_tab :{ content : For a great video tutorial to accompany this tab, check out Kurt Berg's YouTube channel somebody to know, somebody to have, somebody to hold C G It's easy to say, but it's never the same Am F I guess I kinda liked the way you numbed all the pain C G Now the day bleeds into nightfall Am F And you're not here to get me through it all C G I let my guard down, and then you pulled the rug Am F I was getting kinda used to being someone you loved C G Am F I'm going under and this time I fear there's no one to turn to C G Am F This all or nothing way of lovin' got me sleepin' without you C G Am F Now, I need somebody to know, somebody to heal, somebody to have, just to know how it feels C G It's easy to say, but it's never the same Am F I guess I kinda liked the way you helped me escape C G Now the day bleeds into nightfall Am F And you're not here to get me through it all C G I let my guard down, and then you pulled the rug Am F I was getting kinda used to being someone you loved Dm Am G And I tend to close my eyes when it hurts sometimes Dm7 I fall into your arms Am7 G I'll be safe in your sound 'til I come back around N.C. C G For now the day bleeds into nightfall Am F And you're not here to get me through it all C G I let my guard down, and then you pulled the rug Am F I was getting kinda used to being someone you loved C G But now the day bleeds into nightfall Am F And you're not here to get me through it all C G I let my guard down, and then you pulled the rug Am F I was getting kinda used to being someone you loved C G I let my guard down, and then you pulled the rug Am F C I was getting kinda used to being someone you loved[/",Someone You Loved,Lewis Capaldi,90,"['C', 'G', 'Am', 'F']",C,"['C', 'G', 'Am', 'F']"
